date,product_id,customer,quantity,unit_price,payment_received
2018-01-01 00:00:00+00:00,strawberry,Ernest,5,1.51,10
2018-01-02 00:00:00+00:00,guava,Stephen,10,1.94,21
2018-01-03 00:00:00+00:00,melon,Brent,9,1.24,13
2018-01-04 00:00:00+00:00,plum,Shirley,9,1.97,20
2018-01-05 00:00:00+00:00,tamarind,John,11,1.29,16
2018-01-06 00:00:00+00:00,plum,Jose,11,1.19,15
2018-01-07 00:00:00+00:00,strawberry,Maggie,18,1.74,33
2018-01-08 00:00:00+00:00,mandarine,Joel,14,1,16
2018-01-09 00:00:00+00:00,strawberry,Eva,7,1.73,14
2018-01-10 00:00:00+00:00,melon,Traci,3,1.04,5
2018-01-11 00:00:00+00:00,mandarine,Kathleen,7,1.11,10
2018-01-12 00:00:00+00:00,tamarind,Mike,2,1.75,5
2018-01-13 00:00:00+00:00,apple,Sam,20,1.77,37
2018-01-14 00:00:00+00:00,plum,Marvin,12,1.34,18
2018-01-15 00:00:00+00:00,coconut,Mark,4,1.07,6
2018-01-16 00:00:00+00:00,strawberry,Damien,5,1.56,10
2018-01-17 00:00:00+00:00,raspberry,Michael,2,1.4,5
2018-01-18 00:00:00+00:00,guava,Solomon,4,1.15,7
2018-01-19 00:00:00+00:00,apple,Sandra,5,1.6,10
2018-01-20 00:00:00+00:00,strawberry,Emily,13,1.05,16
2018-01-21 00:00:00+00:00,apple,Cheryl,14,1.15,18
2018-01-22 00:00:00+00:00,strawberry,Terri,12,1.36,18
2018-01-23 00:00:00+00:00,mandarine,Luz,7,1.85,15
2018-01-24 00:00:00+00:00,coconut,Heather,9,1.36,14
2018-01-25 00:00:00+00:00,tamarind,Brittany,2,1.75,5
2018-01-26 00:00:00+00:00,plum,Tim,14,1.4,22
2018-01-27 00:00:00+00:00,apple,Kathryn,15,1.81,29
2018-01-28 00:00:00+00:00,plum,Robert,16,1.67,29
2018-01-29 00:00:00+00:00,plum,Lisa,7,1.44,12
2018-01-30 00:00:00+00:00,raspberry,Harry,7,1.47,12
2018-01-31 00:00:00+00:00,guava,James,19,1.83,37
2018-02-01 00:00:00+00:00,tamarind,Larry,19,1.99,40
2018-02-02 00:00:00+00:00,plum,Norman,16,1.23,22
2018-02-03 00:00:00+00:00,melon,Paul,9,1.64,17
2018-02-04 00:00:00+00:00,apple,Susan,6,1.73,12
2018-02-05 00:00:00+00:00,strawberry,Dennis,7,1.09,10
2018-02-06 00:00:00+00:00,coconut,Carrie,14,1.94,29
2018-02-07 00:00:00+00:00,apple,John,15,1.03,17
2018-02-08 00:00:00+00:00,melon,Anita,3,1.63,7
2018-02-09 00:00:00+00:00,apple,Minnie,15,1.11,19
2018-02-10 00:00:00+00:00,guava,Rita,3,1.97,8
2018-02-11 00:00:00+00:00,melon,Wayne,18,1.89,36
2018-02-12 00:00:00+00:00,mandarine,Johnnie,7,1.7,14
2018-02-13 00:00:00+00:00,lemon,Sally,8,1.27,12
2018-02-14 00:00:00+00:00,apple,Joanne,3,1.43,6
2018-02-15 00:00:00+00:00,lemon,Justin,7,1.65,14
2018-02-16 00:00:00+00:00,durian,William,5,1.53,10
2018-02-17 00:00:00+00:00,durian,Myrtle,17,1.36,25
2018-02-18 00:00:00+00:00,apple,Bianca,19,1.1,23
2018-02-19 00:00:00+00:00,strawberry,Natasha,2,1.11,4
2018-02-20 00:00:00+00:00,coconut,Shane,12,1.47,20
2018-02-21 00:00:00+00:00,plum,Danny,2,1.58,5
2018-02-22 00:00:00+00:00,durian,Cordell,6,1.33,10
2018-02-23 00:00:00+00:00,coconut,Dwayne,2,1.5,5
2018-02-24 00:00:00+00:00,raspberry,Bernard,5,1.47,9
2018-02-25 00:00:00+00:00,plum,Ralph,5,1.57,10
2018-02-26 00:00:00+00:00,melon,Kenneth,19,1.01,21
2018-02-27 00:00:00+00:00,raspberry,Anna,1,1.87,4
2018-02-28 00:00:00+00:00,guava,David,19,1.97,40
2018-03-01 00:00:00+00:00,durian,Kirk,20,1.04,23
